S.N.,Date,Index,Absolute Change,Percentage Change
1,2019/05/28,"1,305.49",2.53,0.1945%
2,2019/05/27,"1,302.96",0.34,0.0262%
3,2019/05/26,"1,302.61",-11.93,-0.9077%
4,2019/05/23,"1,314.55",-5.08,-0.3853%
5,2019/05/22,"1,319.63",7.49,0.571%
6,2019/05/21,"1,312.14",4.42,0.3383%
7,2019/05/20,"1,307.71",-9.13,-0.693%
8,2019/05/19,"1,316.84",-1.87,-0.1419%
9,2019/05/16,"1,318.71",-2.29,-0.1735%
10,2019/05/15,"1,321.00",5.55,0.4218%
11,2019/05/14,"1,315.45",14.12,1.0849%
12,2019/05/13,"1,301.34",6.30,0.4867%
13,2019/05/12,"1,295.03",3.07,0.2376%
14,2019/05/09,"1,291.96",-5.64,-0.4343%
15,2019/05/08,"1,297.60",-3.68,-0.2825%
16,2019/05/07,"1,301.28",1.87,0.144%
17,2019/05/06,"1,299.41",21.73,1.7006%
18,2019/05/05,"1,277.68",-16.71,-1.2913%
19,2019/05/02,"1,294.39",-4.21,-0.3243%
20,2019/04/30,"1,298.60",-11.70,-0.8932%
21,2019/04/29,"1,310.31",-4.21,-0.3201%
22,2019/04/28,"1,314.51",22.39,1.7331%
23,2019/04/25,"1,292.12",12.83,1.003%
24,2019/04/24,"1,279.29",19.14,1.5188%
25,2019/04/23,"1,260.68",3.74,0.2977%
26,2019/04/22,"1,256.94",-7.26,-0.5742%
27,2019/04/21,"1,264.20",31.89,2.5878%
28,2019/04/18,"1,232.26",15.22,1.2504%
29,2019/04/17,"1,217.04",4.99,0.4119%
30,2019/04/16,"1,212.05",23.33,1.963%
31,2019/04/15,"1,188.71",4.70,0.3968%
32,2019/04/11,"1,184.02",-0.59,-0.0501%
33,2019/04/10,"1,184.61",3.52,0.2976%
34,2019/04/09,"1,181.10",-10.58,-0.8882%
35,2019/04/08,"1,191.68",9.32,0.7882%
36,2019/04/07,"1,182.36",17.16,1.4727%
37,2019/04/04,"1,165.20",-0.64,-0.0546%
38,2019/04/03,"1,165.84",2.01,0.1729%
39,2019/04/02,"1,163.47",13.72,1.1932%
40,2019/04/01,"1,149.99",6.43,0.5625%
